Number,Abstract
230,"  Thermodynamics places a limit on the efficiency of heat engines, but not on
their output power or on how the power and efficiency change with the engine's
cycle time. In this manuscript, we develop a geometrical description of the
power and efficiency as a function of the cycle time, applicable to an
important class of heat engine models. This geometrical description is used to
design engine protocols that attain both the maximal power and maximal
efficiency at the fast driving limit. Furthermore, using this method we also
prove that no protocol can exactly attain the Carnot efficiency at non-zero
power.
"
231,"  We studied the Szilard engine under the effect of generalized uncertainty
principle (GUP). In the classical Szilard engine, the work done by the engine
is reduced by the GUP effect via a modified ideal gas law. In the quantum
Szilard engine, the correction comes from the shifted eigen energy due to the
nonlinear momentum dependence. We studied its effect on both bosonic and
fermionic molecules.
"
232,"  In this paper the analogy between a thermal engine and a waterwheel is
developed in details, showing that the analogous of the flow of water in an
hydraulic engine is the flow of entropy in a thermal one. This analogy mat
serve to analyse in details the aspects of a thermal engine that are quite
distant from pupils' intuition. The discussion is complemented by an
illustration of the working of thermal and hydraulic engines at the microscopic
level, thus furnishing a view of what heat and work are at this level, and
introducing the statistical and information aspects of entropy. Both hydraulic
and thermal non-ideal engines are also discussed.
"
233,"  The aim of this paper is to determine lost works in a molecular engine and
compare results with macro (classical) heat engines. Firstly, irreversible
thermodynamics are reviewed for macro and molecular cycles. Secondly,
irreversible thermodynamics approaches are applied for a quantum heat engine
with -1/2 spin system. Finally, lost works are determined for considered system
and results show that macro and molecular heat engines obey same limitations.
Moreover, a quantum thermodynamic approach is suggested in order to explain the
results previously obtained from an atomic viewpoint.
"
234,"  We construct an entangled quantum Otto engine based on spin-1/2 systems
undergoing Dzyaloshinski-Moriya (DM) interaction within a varying magnetic
field. We investigate the influence of the DM interaction on basic
thermodynamic quantities, including heat transfer, work done, and efficiency
and find that the DM interaction importantly influences the engine's
thermodynamics. We obtain an expression for engine efficiency, finding it to
yield the same efficiency for antiferromagnetic and ferromagnetic coupling. A
new upper bound, nontrivially consistent with the second law of thermodynamics,
is derived for engine efficiency in the case of non-zero DM interaction.
"
235,"  The overall objective of Requirements Engineering is to specify, in a
systematic way, a system that satisfies the expectations of its stakeholders.
Despite tremendous effort in the field, recent studies demonstrate this is
objective is not always achieved. In this paper, we discuss one particularly
challenging factor to Requirements Engineering projects, namely the change of
requirements. We proposes a rough discussion of how learning and time explain
requirements changes, how it can be introduced as a key variable in the
formulation of the Requirements Engineering Problem, and how this induces costs
for a requirements engineering project. This leads to a new discipline of
requirements economics.
"
236,"  With the explosion in the field of Big Data and introduction of more
stringent emission norms every three to five years, automotive companies must
not only continue to enhance the fuel economy ratings of their products, but
also provide valued services to their customers such as delivering engine
performance and health reports at regular intervals. A reasonable solution to
both issues is installing a variety of sensors on the engine. Sensor data can
be used to develop fuel economy features and will directly indicate engine
performance. However, mounting a plethora of sensors is impractical in a very
cost-sensitive industry. Thus, virtual sensors can replace physical sensors by
reducing cost while capturing essential engine data.
"
237,"  Descartes is a tool that implements extreme mutation operators and aims at
finding pseudo-tested methods in Java projects. It leverages the efficient
transformation and runtime features of PIT. The demonstration compares
Descartes with Gregor, the default mutation engine provided by PIT, in a set of
real open source projects. It considers the execution time, number of mutants
created and the relationship between the mutation scores produced by both
engines. It provides some insights on the main features exposed by Descartes.
"
238,"  In this position paper, we elaborate on the possibilities and needs to
integrate Design Thinking into Requirements Engineering. We draw from our
research and project experiences to compare what is understood as Design
Thinking and Requirements Engineering considering their involved artifacts. We
suggest three approaches for tailoring and integrating Design Thinking and
Requirements Engineering with complementary synergies and point at open
challenges for research and practice.
"
239,"  Studying materials informatics from a data mining perspective can be
beneficial for manufacturing and other industrial engineering applications.
Predictive data mining technique and machine learning algorithm are combined to
design a knowledge discovery system for the selection of engineering materials
that meet the design specifications. Predictive method-Naive Bayesian
classifier and Machine learning Algorithm - Pearson correlation coefficient
method were implemented respectively for materials classification and
selection. The knowledge extracted from the engineering materials data sets is
proposed for effective decision making in advanced engineering materials design
applications.
"
240,"  The maximum efficiency of autonomous engines with finite chemical potential
difference is investigated. We show that without a particular type of
singularity autonomous engines cannot attain the Carnot efficiency. In
addition, we demonstrate that a special autonomous engine with the singularity
attains the Carnot efficiency even if it is macroscopic. Our results clearly
illustrate that the singularity plays a crucial role for the maximum efficiency
of autonomous engines.
"
241,"  Software is a key component of solutions for 21st Century problems. These
problems are often ""wicked"", complex, and unpredictable. To provide the best
possible solution, millennial software engineers must be prepared to make
ethical decisions, thinking critically, and acting systematically. This reality
demands continuous changes in educational systems and curricula delivery, as
misjudgment might have serious social impact. This study aims to investigate
and reflect on Software Engineering (SE) Programs, proposing a conceptual
framework for analyzing cyberethics education and a set of suggestions on how
to integrate it into the SE undergraduate curriculum.
"
242,"  We propose quantum engines powered entirely by the quantum measurement
process. Our theoretical construction of the engine requires no work from the
system Hamiltonian, and takes energy only from the process of observation to
move a particle against a force. We present results for the work done and the
efficiency for different values of the engine parameters. Feedback is required
for optimal performance. We find that unit efficiency can be approached when
one measurement outcome prepares the initial state of the next engine cycle,
while the other outcomes leave the original state nearly unchanged.
"
243,"  At Sandia National Laboratories, the Software Engineering and Research
Department seeks to provide sustainable career pathways for research software
engineers (RSEs). The conceptual model for our organization follows what we
call a Research, Develop, and Deploy (RDD) workflow pattern, enabling RSEs to
partner with research and deployment specialists. We argue that this
interdisciplinary model allows our department to act as an incubator and an
accelerator for impactful ideas. We describe these tactics and our experiences
as a RSE team in a scientific computing center.
"
244,"  We are research software engineers and team members in the Department of
Software Engineering and Research at Sandia National Laboratories, an
organization which aims to advance software engineering in the domain of
computational science. Our team hopes to promote processes and principles that
lead to quality, rigor, correctness, and repeatability in the implementation of
algorithms and applications in scientific software for high consequence
applications. We use our experience to argue that there is a readily achievable
set of software tools and best practices with a large return on investment that
can be imparted upon scientific researchers that will remarkably improve the
quality of software and, as a result, the quality of research.
"
245,"  Heat engines are fundamental physical objects to develop nonequilibrium
thermodynamics. The thermodynamic performance of the heat engine is determined
by the choice of cycle and time-dependence of parameters. Here, we propose a
systematic numerical method to find a heat engine cycle to optimize some target
functions. We apply the method to heat engines with slowly varying parameters
and show that the method works well. Our numerical method is based on the
genetic algorithm which is widely applied to various optimization problems.
"
246,"  In this paper, we describe the development and operating principles of an
immersive virtual reality (VR) visualisation environment that is designed
around the use of consumer VR headsets in an existing wide area motion capture
suite. We present two case studies in the application areas of visualisation of
scientific and engineering data. Each of these case studies utilise a different
render engine, namely a custom engine for one case and a commercial game engine
for the other. The advantages and appropriateness of each approach are
discussed along with suggestions for future work.
"
247,"  This paper describes the realization of the Ontology Web Search Engine. The
Ontology Web Search Engine is realizable as independent project and as a part
of other projects. The main purpose of this paper is to present the Ontology
Web Search Engine realization details as the part of the Semantic Web Expert
System and to present the results of the Ontology Web Search Engine
functioning. It is expected that the Semantic Web Expert System will be able to
process ontologies from the Web, generate rules from these ontologies and
develop its knowledge base.
"
248,"  We study the extended thermodynamical properties of the charged black hole in
Horndeski model with the $k$-essence sector. Then we define a holographic heat
engine via the black hole. We compute the engine efficiency in the large
temperature limit and compare the results with the exact ones. With the given
specified parameters in the rectangular engine, the higher order coupling
suppresses the engine efficiencies.
"
249,"  A quantum computer (QC) can solve many computational problems more
efficiently than a classic one. The field of QCs is growing: companies (such as
DWave, IBM, Google, and Microsoft) are building QC offerings. We position that
software engineers should look into defining a set of software engineering
practices that apply to QC's software. To start this process, we give examples
of challenges associated with testing such software and sketch potential
solutions to some of these challenges.
"
250,"  Digitization not only affects society, it also requires a redefinition of the
location of computer science and computer scientists, as the science journalist
Yogeshwar suggests. Since all official aspects of digitalization are based on
software, this article is intended to attempt to redefine the role of software
engineering and its research. Software-based products, systems or services are
influencing all areas of life and are a critical component and central
innovation driver of digitization in all areas of life. Scientifically, there
are new opportunities and challenges for software engineering as a driving
discipline in the development of any technical innovation. However, the chances
must not be sacrificed to the competition for bibliometric numbers as an end in
themselves.
"
251,"  Despite its idealizations, thermodynamics has proven its power as a
predictive theory for practical applications. In particular, the Curzon-Ahlborn
efficiency provides a benchmark for any real engine operating at maximal power.
Here we further develop the analysis of endoreversible Otto engines. For a
generic class of working mediums, whose internal energy is proportional to some
power of the temperature, we find that no engine can achieve the Carnot
efficiency at finite power. However, we also find that for the specific example
of photonic engines the efficiency at maximal power is larger than the
Curzon-Ahlborn efficiency.
"
252,"  We propose a quantum-enhanced heat engine with entanglement. The key feature
of our scheme is superabsorption, which facilitates enhanced energy absorption
by entangled qubits. Whereas a conventional engine with $N$ separable qubits
provides power with a scaling of $P = \Theta (N)$, our engine uses
superabsorption to provide power with a quantum scaling of $P = \Theta(N^2)$.
This quantum heat engine also exhibits a scaling advantage over classical ones
composed of $N$-particle Langevin systems. Our work elucidates the quantum
properties allowing for the enhancement of performance.
"
253,"  As a newly designated professional title, research software engineers (RSEs)
link the two worlds of software engineering and research science. They lack
clear development and training opportunities, particularly in the realm of
mentoring. In this paper, we discuss mentorship as it pertains to the unique
needs of RSEs and propose ways in which organizations and institutions can
support mentor/mentee relationships for RSEs
"
254,"  Information availability affects people's behavior and perception of the
world. Notably, people rely on search engines to satisfy their need for
information. Search engines deliver results relevant to user requests usually
without being or making themselves accountable for the information they
deliver, which may harm people's lives and, in turn, society. This potential
risk urges the development of evaluation mechanisms of bias in order to empower
the user in judging the results of search engines. In this paper, we give a
possible solution to measuring representation bias with respect to societal
features for search engines and apply it to evaluating the gender
representation bias for Google's Knowledge Graph Carousel for listing
occupations.
"
255,"  In this work, the relationship between Carnot engine and Szil\'ard engine was
discussed. By defining the available information about the temperature
difference between two heat reservoirs, the Carnot engine was found to have a
same physical essence with Szil\'ard engine: lossless conversion of available
information. Thus, a generalized Carnot's theorem for wider scope of
application can be described as ""all the available information is 100% coded
into work"".
"
256,"  We report on a lossless information engine that converts nearly all available
information from an error-free feedback protocol into mechanical work.
Combining high-precision detection at resolution of 1 nm with ultrafast
feedback control, the engine is tuned to extract the maximum work from
information on the position of a Brownian particle. We show that the work
produced by the engine achieves a bound set by a generalized second law of
thermodynamics, demonstrating for the first time the sharpness of this bound.
We validate a generalized Jarzynski equality for error-free feedback-controlled
information engines.
"
257,"  Deficit and redundancies in existing automotive product development hinder a
systems engineering based development. In this paper we discuss a methodical
procedure to eliminate deficits in the current product development and in turn
to enable the introduction of a new systems engineering based development
methodology. As the core part of our approach, we discuss how to transform an
opaque heterogeneous product development to a homogenous consistent product
development taking into account existing disciplines. Our approach paves the
way to achieve a process structure that is more amenable to verification and
validation. We show the effectiveness of our proposed solution approach on an
automotive use case.
"
258,"  In the past few years, we have observed a huge supply-demand gap for
autonomous driving engineers. The core problem is that autonomous driving is
not one single technology but rather a complex system integrating many
technologies, and no one single academic department can provide comprehensive
education in this field. We advocate to create a cross-disciplinary program to
expose students with technical background in computer science, computer
engineering, electrical engineering, as well as mechanical engineering. On top
of the cross-disciplinary technical foundation, a capstone project that
provides students with hands-on experiences of working with a real autonomous
vehicle is required to consolidate the technical foundation.
"
259,"  One of the pillars of any machine learning model is its concepts. Using
software engineering, we can engineer these concepts and then develop and
expand them. In this article, we present a SELM framework for Software
Engineering of machine Learning Models. We then evaluate this framework through
a case study. Using the SELM framework, we can improve a machine learning
process efficiency and provide more accuracy in learning with less processing
hardware resources and a smaller training dataset. This issue highlights the
importance of an interdisciplinary approach to machine learning. Therefore, in
this article, we have provided interdisciplinary teams' proposals for machine
learning.
"
260,"  Consistency checking of interdependent heterogeneous engineering artifacts,
such as requirements, specifications, and code, is a challenging task in
large-scale engineering projects. The lack of team-oriented solutions allowing
a multitude of project stakeholders to collaborate in a consistent manner is
thus becoming a critical problem. In this context, this work proposes an
approach for team-oriented consistency checking of collaboratively developed
heterogeneous engineering artifacts.
"
261,"  We present a thermodynamics experiment suitable for first year undergraduate
students employing Stirling Engines to create a demonstration of energy
transformation and to measure the mechanical efficiency of such engines. Using
an inexpensive transparent chambered Stirling Engine, students can connect
concepts such as the theoretical pressure-volume diagram with the physical
movements of the engine's pistons and the resultant useful output work of a
spinning wheel. We found the majority of students successfully complete this
experiment obtaining results similar to when performed by the authors. In
addition to the core thermodynamics lesson, this experiment incorporates DC
circuits, oscilloscopes, and data analysis so it can be integrated into a wider
undergraduate physics course to combine the teaching of multiple subjects.
"
262,"  The article describes what constitutes chemical engineering and its branches
are in plain language. It outlines what to expect when one enrolls in a
chemical engineering program as an undergraduate or graduate student. This may
include core subjects to take, skillset to master, and other essential
expertise that might be useful in the workplace. The discussion continues with
career options for enthusiastic chemical engineers and how these young and
early careers graduates could discover their reason for well-being and life
purpose as aspiring chemical engineers.
"
263,"  It is expected that scholars will continuously strengthen the depth and
breadth of theoretical research on RIS, and provide a higher theoretical upper
bound for the engineering application of RIS. While making breakthroughs in
academic research, it has also made rapid progress in engineering application
research and industrialization promotion. This paper will provide an overview
of RIS engineering applications, and make a systematic and in-depth analysis of
the challenges and candidate solutions of RIS engineering applications. Future
trends and challenges are also provided.
"
264,"  Social engineering is described as the art of manipulation. Cybercriminal use
manipulation to victims their targets using psychological principles to change
their behavior to make unconscious decisions. This study identifies the attack
and techniques used by cybercriminal to conduct social engineering attacks
within an organization. This study evaluate how social engineering attacks are
delivered, techniques used and highlights how attackers take advantage
Compromised systems. Lastly this study will also evaluate and provide the best
solutions to help mitigate social engineering attacks with an organization
"
265,"  Software engineering capabilities are increasingly important to the success
of economic and political blocs. This paper analyzes quantity and quality of
software engineering research output originating from the US, Europe, and China
over time. The results indicate that the quantity of research is increasing
across the board with Europe leading the field. Depending of the scope of the
analysis, either the US or China come in second. Regarding research quality,
Europe appears to be lagging the other blocs, with China having caught up to
and even having overtaken the US over time.
"
266,"  Heat engines cannot generally operate at maximum power and efficiency,
imposing a trade-off between the two. Here, we highlight the exact nature of
this trade-off for engines that exchange heat radiatively with a hot source. We
derive simple analytical expressions for the performance bounds of reciprocal
and nonreciprocal radiative heat engines. We also highlight that radiative
engines can achieve a better power-efficiency trade-off than linear ones. These
bounds are especially relevant for thermophotovoltaics, offering useful metrics
against which to compare device performance.
"
267,"  We investigate the performance of a Brownian heat engine working in a
heterogeneous thermal bath where the mobility fluctuates. Brownian particle is
trapped by the time-dependent harmonic potential, by changing the stiffness
coefficient and the bath temperatures, we perform a Stirling cycle. We
numerically evaluated the average work, power and efficiency. We compare our
results with the Brownian heat engine working in a homogeneous thermal bath. We
find that for the normal diffusive system, the performance of a Gaussian heat
engine serves as an upper bound. We also observe that the non-Gaussian position
distribution decreases the stochastic heat engine performance.
"
268,"  Protein engineering is an emerging field in biotechnology that has the
potential to revolutionize various areas, such as antibody design, drug
discovery, food security, ecology, and more. However, the mutational space
involved is too vast to be handled through experimental means alone. Leveraging
accumulative protein databases, machine learning (ML) models, particularly
those based on natural language processing (NLP), have considerably expedited
protein engineering. Moreover, advances in topological data analysis (TDA) and
artificial intelligence-based protein structure prediction, such as AlphaFold2,
have made more powerful structure-based ML-assisted protein engineering
strategies possible. This review aims to offer a comprehensive, systematic, and
indispensable set of methodological components, including TDA and NLP, for
protein engineering and to facilitate their future development.
"
269,"  Recommendation engine suggest content, product or services to the user by
using machine learning algorithm. This paper proposed a content-based
recommendation engine for providing video suggestion to the user based on their
previous interests and choices. We will use TF-IDF text vectorization method to
determine the relevance of words in a document. Then we will find out the
similarity between each content by calculating cosine similarity between them.
Finally, engine will recommend videos to the users based on the obtained
similarity score value. In addition, we will measure the engine's performance
by computing precision, recall, and F1 core of the proposed system.
"
270,"  The RET (Requirements Engineering and Testing) workshop series provides a
meeting point for researchers and practitioners from the two separate fields of
Requirements Engineering (RE) and Testing. The long term aim is to build a
community and a body of knowledge within the intersection of RE and Testing,
i.e., RET. The 4th workshop was co-located with the 25th International
Requirements Engineering Conference (RE'17) in Lisbon, Portugal and attracted
about 20 participants. In line with the previous workshop instances, RET 2017 o
ered an interactive setting with a keynote, an invited talk, paper
presentations, and a concluding hands-on exercise.
"
271,"  Electrical heat engines driven by the Johnson-Nyquist noise of resistors are
introduced. They utilize Coulomb's law and the fluctuation-dissipation theorem
of statistical physics that is the reverse phenomenon of heat dissipation in a
resistor. No steams, gases, liquids, photons, combustion, phase transition, or
exhaust/pollution are present here. In these engines, instead of heat
reservoirs, cylinders, pistons and valves, resistors, capacitors and switches
are the building elements. For the best performance, a large number of parallel
engines must be integrated to run in a synchronized fashion and the
characteristic size of the elementary engine must be at the 10 nanometers
scale. At room temperature, in the most idealistic case, a two-dimensional
ensemble of engines of 25 nanometer characteristic size integrated on a 2.5x2.5
cm silicon wafer with 12 Celsius temperature difference between the warm-source
and the cold-sink would produce a specific power of about 0.4 Watt. Regular and
coherent (correlated-cylinder states) versions are shown and both of them can
work in either four-stroke or two-stroke modes. The coherent engines have
properties that correspond to coherent quantum heat engines without the
presence of quantum coherence. In the idealistic case, all these engines have
Carnot efficiency, which is the highest possible efficiency of any heat engine,
without violating the second law of thermodynamics.
"
272,"  We present a unified perspective on nonequilibrium heat engines by
generalizing nonlinear irreversible thermodynamics. For tight-coupling heat
engines, a generic constitutive relation of nonlinear response accurate up to
the quadratic order is derived from the symmetry argument and the stall
condition. By applying this generic nonlinear constitutive relation to
finite-time thermodynamics, we obtain the necessary and sufficient condition
for the universality of efficiency at maximum power, which states that a
tight-coupling heat engine takes the universal efficiency at maximum power up
to the quadratic order if and only if either the engine symmetrically interacts
with two heat reservoirs or the elementary thermal energy flowing through the
engine matches the characteristic energy of the engine. As a result, we solve
the following paradox: On the one hand, the universal quadratic term in the
efficiency at maximum power for tight-coupling heat engines proved as a
consequence of symmetry [M. Esposito, K. Lindenberg, and C. Van den Broeck,
Phys. Rev. Lett. 102, 130602 (2009); S. Q. Sheng and Z. C. Tu, Phys. Rev. E 89,
012129 (2014)]; On the other hand, two typical heat engines including the
Curzon-Ahlborn endoreversible heat engine [F. L. Curzon and B. Ahlborn, Am. J.
Phys. 43, 22 (1975)] and the Feynman ratchet [Z. C. Tu, J. Phys. A 41, 312003
(2008)] recover the universal efficiency at maximum power regardless of any
symmetry.
"
273,"  Context: Understanding the types of software engineering practices and
techniques used in the industry is important. There is a wide spectrum in terms
of the types and maturity of software engineering practices conducted in each
software team and company. To characterize the type of software engineering
practices conducted in software firms, a variety of surveys have been conducted
in different countries and regions. Turkey has a vibrant software industry and
it is important to characterize and understand the state of software
engineering practices in this industry. Objective: Our objective is to
characterize and grasp a high-level view on type of software engineering
practices in the Turkish software industry. Among the software engineering
practices that we have surveyed in this study are the followings: software
requirements, design, development, testing, maintenance, configuration
management, release planning and support practices. The current survey is the
most comprehensive of its type ever conducted in the context of Turkish
software industry. Method: To achieve the above objective, we systematically
designed an online survey with 46 questions based on our past experience in the
Canadian and Turkish contexts and using the Software Engineering Body of
Knowledge (SWEBOK). 202 practicing software engineers from the Turkish software
industry participated in the survey. We analyze and report in this paper the
results of the questions. Whenever possible, we also compare the trends and
results of our survey with the results of a similar 2010 survey conducted in
the Canadian software industry.
"
274,"  A hyperaccreting stellar-mass black hole has been proposed as the candidate
central engine of gamma-ray bursts (GRBs). The rich observations of GRBs by
\textit{Fermi} and \textit{Swift} make it possible to constrain the central
engine model by comparing the model predications against data. This paper is
dedicated to studying the temporal evolution of central engine parameters for
both prompt emission and afterglow phases. We consider two jet launching
mechanisms, i.e., $\nu\bar{\nu}$ annihilations and the Blandford-Znajek (BZ)
processe, and obtain analytical solutions to these two models. We then
investigate the black hole central engine parameters, such as the jet power,
the dimensionless entropy $\eta$, and the central engine parameter $\mu_0=\eta
(1+\sigma_0)$ (where $\sigma_0$ is the initial magnetization of the engine) at
the base of the jet. The black hole may be spun up by accretion, or spun down
by the BZ process, leaving imprints in GRB lightcurves. Usually, a BZ jet is
more powerful and is likely responsible for the late time central engine
activities. However, an initially non-spinning black hole central engine may
first launch a thermal ""fireball"" via neutrino annihilations, and then launch a
Poynting-flux-dominated jet via the BZ process. Multiple flares, giant bumps,
and plateaus in GRB afterglows can be well produced as the result of late time
accretion onto the black hole.
"
275,"  Information on the web is prodigious; searching relevant information is
difficult making web users to rely on search engines for finding relevant
information on the web. Search engines index and categorize web pages according
to their contents using crawlers and rank them accordingly. For given user
query they retrieve millions of webpages and display them to users according to
web-page rank. Every search engine has their own algorithms based on certain
parameters for ranking web-pages. Search Engine Optimization (SEO) is that
technique by which webmasters try to improve ranking of their websites by
optimizing it according to search engines ranking parameters. It is the aim of
this research to identify the most popular SEO techniques used by search
engines for ranking web-pages and to establish their importance for indexing
and categorizing web data. The research tries to establish that using more SEO
parameters in ranking algorithms helps in retrieving better search results thus
increasing user satisfaction.
  In the accomplished research, a web based Meta search engine is proposed to
aggregates search results from different search engines and rank web-pages
based on new page ranking algorithm which will assign heuristic page rank to
web-pages based on SEO parameters such as title tag, Meta description, sitemap
etc. The research also provides insight into techniques which webmasters can
use for better ranking their websites in Google and Bing.
  Initial results has shown that using certain SEO parameters in present
ranking algorithm helps in retrieving more useful results for user queries.
These results generated from Meta search engine outperformed existing search
engines in terms of better retrieved search results and high precision.
"
276,"  Traffic engineering has been used in IP and MPLS networks for a number of
years as a tool for making more efficient use of capacity by explicitly routing
traffic demands where there is available network capacity that would otherwise
be unused. Deployment of traffic engineering imposes an additional layer of
complexity to network design and operations, however, which has constrained its
adoption for capacity optimisation. The rise of Software Defined Networks has
renewed interest in the use of traffic engineering approaches leveraging
centralised network controllers for capacity optimisation. We argue that future
networks can realise the network optimisation benefits of traffic engineering
without incurring additional network complexity through closer coupling between
the network and the applications and services using the network. This can be
achieved through leveraging a network- and traffic-aware controller to directly
influence where applications and services site or locate service instances,
i.e. which implicitly impacts the paths that the applications or services
traffic demands take through the network. We call this technique Demand
Engineering. Demand Engineering has the additional benefit of providing an
admission control capability, i.e. which can provide an assurance that network
SLAs can be met. In this paper we describe the concept of Demand Engineering,
give examples of its use and present simulation results indicating its
potential benefits. We also compare demand engineering to traffic engineering.
"
277,"  In this paper, the dynamic couplings among different inputs and outputs of a
highly nonlinear spark ignition (SI) engine control problem during the cold
start phase are evaluated by using relative gain array (RGA) technique. First,
based on the experimental data, a multi-input multi-output model is developed
to represent the engine dynamics. Second, the coupling among different inputs
and outputs of the model is evaluated by using RGA technique in both open-loop
and closed-loop structures. The results show that although there is an internal
coupling within the engine dynamics in the open-loop framework, the closed-loop
engine controller can be designed using a decentralized structure without
significantly affecting the system performance. In the next step, based on a
nonlinear physics-based model of the engine, a set of single-input
single-output (SISO) adaptive second order discrete sliding mode controllers
(DSMC) are designed to drive the states of the engine model to their
pre-defined desired trajectories and minimize the tailpipe HC emission, under
modelling and implementation (data sampling and quantization) uncertainties.
The real-time test results on an actual engine control unit (ECU) show that the
proposed SISO adaptive second order DSMC provides accurate and fast tracking
performance for the highly nonlinear and internally coupled engine dynamics,
and can meet the HC emission limit by controlling the engine-out emissions and
exhaust catalytic converter efficiency.
"
278,"  Assisting users by suggesting completed queries as they type is a common
feature of search systems known as query auto-completion. A query
auto-completion engine may use prior signals and available information (e.g.,
user is anonymous, user has a history, user visited the site before the search
or not, etc.) in order to improve its recommendations. There are many possible
strategies for query auto-completion and a challenge is to design one optimal
engine that considers and uses all available information. When different
strategies are used to produce the suggestions, it becomes hard to rank these
heterogeneous suggestions. An alternative strategy could be to aggregate
several engines in order to enhance the diversity of recommendations by
combining the capacity of each engine to digest available information
differently, while keeping the simplicity of each engine. The main objective of
this research is therefore to find such mixture of query completion engines
that would beat any engine taken alone. We tackle this problem under the
bandits setting and evaluate four strategies to overcome this challenge.
Experiments conducted on three real datasets show that a mixture of engines can
outperform a single engine.
"
279,"  An engine producing a finite power at the ideal (Carnot) efficiency is a
dream engine, which is not prohibited by the thermodynamic second law. Some
years ago, a two-terminal heat engine with {\em asymmetric} Onsager
coefficients in the linear response regime was suggested by Benenti, Saito, and
Casati [Phys. Rev. Lett. {\bf 106}, 230602 (2011)], as a prototypical system to
make such a dream come true with non-divergent system parameter values.
However, such a system has never been realized in spite of many trials. Here,
we introduce an exactly solvable two-terminal Brownian heat engine with the
asymmetric Onsager coefficients in the presence of a Lorenz (magnetic) force.
Nevertheless, we show that the dream engine regime cannot be accessible even
with the asymmetric Onsager coefficients, due to an instability keeping the
engine from reaching its steady state. This is consistent with recent trade-off
relations between the engine power and efficiency, where the (cyclic)
steady-state condition is implicitly presumed. We conclude that the
inaccessibility to the dream engine originates from the steady-state constraint
on the engine.
"
280,"  Accessing to required data on the internet is wide via search engines in the
last two decades owing to the huge amount of available data and the high rate
of new data is generating daily. Accordingly, search engines are encouraged to
make the most valuable existing data on the web searchable. Knowing how to
handle a large amount of data in each step of a search engines' procedure from
crawling to indexing and ranking is just one of the challenges that a
professional search engine should solve. Moreover, it should also have the best
practices in handling users' traffics, state-of-the-art natural language
processing tools, and should also address many other challenges on the edge of
science and technology. As a result, evaluating these systems is too
challenging due to the level of internal complexity they have, and is crucial
for finding the improvement path of the existing system. Therefore, an
evaluation procedure is a normal subsystem of a search engine that has the role
of building its roadmap. Recently, several countries have developed national
search engine programs to build an infrastructure to provide special services
based on their needs on the available data of their language on the web. This
research is conducted accordingly to enlighten the advancement path of two
Iranian national search engines: Yooz and Parsijoo in comparison with two
international ones, Google and Bing. Unlike related work, it is a
semi-automatic method to evaluate the search engines at the first pace.
Eventually, we obtained some interesting results which based on them the
component-based improvement roadmap of national search engines could be
illustrated concretely.
"
281,"  Low-temperature-differential (LTD) Stirling heat engines are able to operate
with a small temperature difference between low-temperature heat reservoirs
that exist in our daily lives, and thus they are considered to be an important
sustainable energy technology. The author recently proposed a nonlinear
dynamics model of an LTD kinematic Stirling heat engine to study the rotational
mechanism of the engine [Y. Izumida, EPL \textbf{121}, 50004 (2018)]. This
paper presents our study of the nonequilibrium thermodynamics analysis of this
engine model, where a load torque against which the engine does work is
introduced. We demonstrate that the engine's rotational state is in a
quasi-linear response regime where the thermodynamic fluxes show a linear
dependency on the thermodynamic forces. Significantly, it is found that the
response coefficients of the quasi-linear relations are symmetric, which is
similar to Onsager symmetry in linear irreversible thermodynamics. Based on
these relations, we formulate the maximum efficiency of the engine. We also
elucidate that the symmetry of the quasi-linear response coefficients emerges
by reflecting the (anti-)reciprocity of the Onsager kinetic coefficients
identified for the relaxation dynamics of the engine in the vicinity of an
equilibrium state. We expect that the present study paves the way for
developing nonequilibrium thermodynamics of autonomous heat engines described
as a nonlinear dynamical system.
"
282,"  Context: Advancements in machine learning (ML) lead to a shift from the
traditional view of software development, where algorithms are hard-coded by
humans, to ML systems materialized through learning from data. Therefore, we
need to revisit our ways of developing software systems and consider the
particularities required by these new types of systems. Objective: The purpose
of this study is to systematically identify, analyze, summarize, and synthesize
the current state of software engineering (SE) research for engineering ML
systems. Method: I performed a systematic literature review (SLR). I
systematically selected a pool of 141 studies from SE venues and then conducted
a quantitative and qualitative analysis using the data extracted from these
studies. Results: The non-deterministic nature of ML systems complicates all SE
aspects of engineering ML systems. Despite increasing interest from 2018
onwards, the results reveal that none of the SE aspects have a mature set of
tools and techniques. Testing is by far the most popular area among
researchers. Even for testing ML systems, engineers have only some tool
prototypes and solution proposals with weak experimental proof. Many of the
challenges of ML systems engineering were identified through surveys and
interviews. Researchers should conduct experiments and case studies, ideally in
industrial environments, to further understand these challenges and propose
solutions. Conclusion: The results may benefit (1) practitioners in foreseeing
the challenges of ML systems engineering; (2) researchers and academicians in
identifying potential research questions; and (3) educators in designing or
updating SE courses to cover ML systems engineering.
"
